"Source","Target","Weight"
"alimentum","cibus","64.6920082197914"
"alimonia","cibus","75.4884503940309"
"daps","cibus","74.0430994225883"
"refectio","cibus","68.9521441900277"
"epule","cibus","67.7430078425811"
"esca","cibus","64.4322159063641"
"uictus2","cibus","92.1262994024613"
"alo","cibus","117.711420737776"
"potus3","cibus","80.9891132635317"
"subsidium","cibus","104.994163020668"
"comedo1","cibus","130.414647921689"
"copia","cibus","104.328972713919"
"delicia","cibus","87.2809229702545"
"edulium","cibus","85.1103649508231"
"esus","cibus","91.4933244534615"
"pabulum","cibus","91.9936816961231"
"panis","cibus","87.2035527502036"
"potus2","cibus","89.6413689231585"
"saturitas","cibus","107.94522420687"
"coquo","cibus","124.249109380914"
"elinguo","cibus","197.026313074751"
"esurio1","cibus","130.037781304936"
"holus","cibus","107.919065724534"
"legumen","cibus","115.660606821023"
"nutrimentum","cibus","141.636100908947"
"pascua","cibus","116.20751866604"
"pastus","cibus","100.689210133278"
"reficio","cibus","121.661528879321"
"ruminor","cibus","140.922449203583"
"cibus","alimentum","64.6920082197914"
"alimonia","alimentum","44.3781089369456"
"daps","alimentum","77.020658346207"
"refectio","alimentum","66.8626501394069"
"epule","alimentum","75.0360379901658"
"esca","alimentum","78.4975727848544"
"uictus2","alimentum","85.6676018222385"
"alo","alimentum","118.664255626857"
"potus3","alimentum","89.8013665980167"
"subsidium","alimentum","77.1680613183371"
"comedo1","alimentum","139.637692091353"
"copia","alimentum","88.6328322850083"
"delicia","alimentum","90.2227204030611"
"edulium","alimentum","91.9125575248185"
"esus","alimentum","99.9108727573664"
"pabulum","alimentum","76.5075419291265"
"panis","alimentum","97.8723308596323"
"potus2","alimentum","93.0662226036652"
"saturitas","alimentum","118.430621019406"
"coquo","alimentum","134.459534566345"
"elinguo","alimentum","195.765961859109"
"esurio1","alimentum","134.159300369176"
"holus","alimentum","117.034401828787"
"legumen","alimentum","115.61970914881"
"nutrimentum","alimentum","127.332948812715"
"pascua","alimentum","108.367307161303"
"pastus","alimentum","92.2671980137218"
"reficio","alimentum","121.754419214477"
"ruminor","alimentum","143.964543763909"
"cibus","alimonia","75.4884503940309"
"alimentum","alimonia","44.3781089369456"
"daps","alimonia","80.1810144790894"
"refectio","alimonia","64.9437589358631"
"epule","alimonia","76.1162421583602"
"esca","alimonia","84.4956650194025"
"uictus2","alimonia","84.0424584475828"
"alo","alimonia","118.951755630318"
"potus3","alimonia","95.0098824834221"
"subsidium","alimonia","69.1054254901326"
"comedo1","alimonia","138.163311685115"
"copia","alimonia","84.8766176820458"
"delicia","alimonia","88.3684312196684"
"edulium","alimonia","90.2618663946629"
"esus","alimonia","96.451855925857"
"pabulum","alimonia","71.4511129064616"
"panis","alimonia","100.080108380774"
"potus2","alimonia","96.629690584856"
"saturitas","alimonia","117.655924595821"
"coquo","alimonia","132.794460692221"
"elinguo","alimonia","192.639661147612"
"esurio1","alimonia","134.719184528474"
"holus","alimonia","118.190266858425"
"legumen","alimonia","117.207995131331"
"nutrimentum","alimonia","122.264691506046"
"pascua","alimonia","104.438755933767"
"pastus","alimonia","90.3662245972642"
"reficio","alimonia","120.811407264125"
"ruminor","alimonia","143.370895117862"
"cibus","daps","74.0430994225883"
"alimentum","daps","77.020658346207"
"alimonia","daps","80.1810144790894"
"refectio","daps","71.330716432023"
"epule","daps","59.0735050346994"
"esca","daps","82.3254656762967"
"uictus2","daps","98.3152727426687"
"alo","daps","104.956522606027"
